arrival_time,front_of_queue_time,counter_arrival_time,counter_service_start_time,counter_service_end_time,food_delay_start_time,food_delay_end_time,cashier_arrival_time,cashier_service_start_time,cashier_service_end_time
12:35:07 PM,12:35:08 PM,,,,12:35:10 PM,12:35:11 PM,12:35:12 PM,12:35:14 PM,12:35:30 PM
12:35:50 PM,12:35:51 PM,,,,12:35:54 PM,12:36:00 PM,12:36:03 PM,12:36:17 PM,12:36:36 PM
12:36:08 PM,12:36:19 PM,,,,12:36:37 PM,12:36:48 PM,12:36:50 PM,12:36:52 PM,12:37:04 PM
12:36:21 PM,12:36:25 PM,,,,12:36:19 PM,12:36:24 PM,12:36:27 PM,12:36:30 PM,12:36:48 PM
12:37:06 PM,12:37:11 PM,,,,12:37:52 PM,12:37:58 PM,12:37:59 PM,12:38:00 PM,12:38:17 PM
12:37:22 PM,12:37:31 PM,,,,12:38:05 PM,12:38:54 PM,12:38:53 PM,12:38:58 PM,12:39:53 PM
12:38:19 PM,12:38:29 PM,,,,12:38:32 PM,12:39:26 PM,12:39:27 PM,12:39:37 PM,12:40:15 PM
12:39:05 PM,12:39:13 PM,,,,12:39:50 PM,12:39:57 PM,12:40:02 PM,12:40:22 PM,12:40:54 PM
12:39:18 PM,12:39:21 PM,,,,12:39:27 PM,12:39:29 PM,12:39:32 PM,12:39:59 PM,12:40:08 PM
12:39:19 PM,12:39:23 PM,,,,12:39:32 PM,12:39:34 PM,12:39:37 PM,12:40:10 PM,12:40:18 PM
12:39:55 PM,12:39:55 PM,,,,12:40:01 PM,12:40:23 PM,12:40:27 PM,12:40:34 PM,12:41:10 PM
12:40:24 PM,12:40:35 PM,,,,12:40:37 PM,12:41:08 PM,12:41:12 PM,12:41:16 PM,12:41:32 PM
12:41:14 PM,12:46:52 PM,,,,12:46:58 PM,12:46:59 PM,12:47:00 PM,12:47:01 PM,12:47:15 PM
12:41:17 PM,12:41:18 PM,,,,12:41:34 PM,12:41:48 PM,12:41:44 PM,12:41:50 PM,12:42:04 PM
12:42:21 PM,12:42:59 PM,,,,12:42:59 PM,12:52:01 PM,12:52:02 PM,12:52:05 PM,12:52:16 PM
12:43:39 PM,12:43:50 PM,,,,12:44:02 PM,12:44:10 PM,12:44:10 PM,12:44:14 PM,12:44:32 PM
12:43:57 PM,12:44:05 PM,,,,12:44:08 PM,12:44:12 PM,12:44:12 PM,12:44:18 PM,12:44:27 PM
12:44:27 PM,12:44:30 PM,,,,12:44:30 PM,12:46:10 PM,12:46:14 PM,12:46:15 PM,12:46:48 PM
12:44:53 PM,12:45:55 PM,,,,12:46:11 PM,12:46:17 PM,12:46:21 PM,12:46:33 PM,12:46:47 PM
12:44:58 PM,12:46:55 PM,,,,12:47:27 PM,12:47:46 PM,12:47:59 PM,12:48:01 PM,12:48:25 PM
12:45:20 PM,12:46:27 PM,,,,12:46:39 PM,12:46:52 PM,12:46:56 PM,12:47:16 PM,12:47:28 PM
12:46:27 PM,12:46:35 PM,12:46:49 PM,12:47:40 PM,12:48:35 PM,12:50:22 PM,12:50:26 PM,12:50:22 PM,12:50:24 PM,12:50:43 PM
12:46:49 PM,12:47:20 PM,,,,12:47:30 PM,12:52:34 PM,12:52:42 PM,12:52:44 PM,12:53:11 PM
12:46:49 PM,12:47:20 PM,,,,12:47:30 PM,12:49:52 PM,12:49:52 PM,12:49:53 PM,12:50:17 PM
